Timestamp (UTC),Relay State,T2 (F),T1 (F)
2026-08-08T09:15:00Z,1,108.77792,119.75
2026-08-08T09:30:00Z,1,107.9857143,118.6329714
2026-08-08T09:45:00Z,1,107.12012,117.37268
2026-08-08T10:00:00Z,1,107.0756,118.22024
2026-08-08T10:15:00Z,1,107.4232143,118.6091857
2026-08-08T10:30:00Z,1,106.9628,118.385
2026-08-08T10:45:00Z,1,106.925,118.09184
2026-08-08T11:00:00Z,1,106.5551,118.0217429
2026-08-08T11:15:00Z,1,107.48756,118.25024
2026-08-08T11:30:00Z,1,108.54524,119.33756
2026-08-08T11:45:00Z,1,109.2311857,119.9909429
2026-08-08T12:00:00Z,1,109.67756,120.77012
2026-08-08T12:15:00Z,1,110.1428,121.26488
2026-08-08T12:30:00Z,1,110.5733429,121.5978286
2026-08-08T12:45:00Z,1,110.86208,121.82792
2026-08-08T13:00:00Z,1,110.92208,121.94792
2026-08-08T13:15:00Z,1,110.9345,122.0239143
2026-08-08T13:30:00Z,1,110.86208,122.01488
2026-08-08T13:45:00Z,1,110.92988,121.34744
2026-08-08T14:00:00Z,1,110.75744,121.62512
2026-08-08T14:15:00Z,1,110.6130714,121.3898
2026-08-08T14:30:00Z,1,110.44268,121.40024
2026-08-08T14:45:00Z,1,110.37524,121.42988
2026-08-08T15:00:00Z,1,111.8748714,122.0083571
2026-08-08T15:15:00Z,1,112.4,118.91012
2026-08-08T15:30:00Z,1,110.02232,115.52
2026-08-08T15:45:00Z,1,107.9456,112.7990429
2026-08-08T16:00:00Z,1,105.61244,109.87244
2026-08-08T16:15:00Z,1,103.49756,107.18768
2026-08-08T16:30:00Z,1,101.9671571,105.0928571
2026-08-08T16:45:00Z,1,99.88232,105.21488
2026-08-08T17:00:00Z,1,101.65256,111.20012
2026-08-08T17:15:00Z,1,104.6267857,114.1409429
2026-08-08T17:30:00Z,1,106.60988,115.69244
2026-08-08T17:45:00Z,1,107.94488,115.4
2026-08-08T18:00:00Z,1,108.0017857,115.7482143
2026-08-08T18:15:00Z,1,108.53744,117.32
2026-08-08T18:30:00Z,1,109.56488,116.80256
2026-08-08T18:45:00Z,1,109.3276143,117.7166429
2026-08-08T19:00:00Z,1,109.42244,115.805
2026-08-08T19:15:00Z,1,108.09488,115.6928
2026-08-08T19:30:00Z,1,107.6163286,116.3669
2026-08-08T19:45:00Z,1,108.24524,116.99012
2026-08-08T20:00:00Z,1,108.965,117.81488
2026-08-08T20:15:00Z,1,110.2440714,118.5285714
2026-08-08T20:30:00Z,1,111.30512,119.5478
2026-08-08T20:45:00Z,1,112.27256,119.99012
2026-08-08T21:00:00Z,1,111.8426,115.5232143
2026-08-08T21:15:00Z,1,108.88244,111.41
2026-08-08T21:30:00Z,1,106.09988,106.17464
2026-08-08T21:45:00Z,1,102.7064429,102.3123714
2026-08-08T22:00:00Z,1,100.94,101.08988
2026-08-08T22:15:00Z,1,99.78512,99.74744
2026-08-08T22:30:00Z,1,99.10618571,104.3853286
2026-08-08T22:45:00Z,1,102.62012,110.69744
2026-08-08T23:00:00Z,1,106.16756,114.32756
2026-08-08T23:15:00Z,1,108.1542714,115.8284429
2026-08-08T23:30:00Z,1,108.97196,116.97512
2026-08-08T23:45:00Z,1,108.86804,116.74244
2026-08-09T00:00:00Z,1,108.5563143,116.4635857
2026-08-09T00:15:00Z,1,108.89744,117.23756
2026-08-09T00:30:00Z,1,109.57196,118.1
2026-08-09T00:45:00Z,1,109.8898571,118.6089286
2026-08-09T01:00:00Z,1,109.91036,118.64756
2026-08-09T01:15:00Z,1,111.23,119.49488
2026-08-09T01:30:00Z,1,111.9072714,120.3608429
2026-08-09T01:45:00Z,1,112.33256,120.89768
2026-08-09T02:00:00Z,1,112.06292,121.07744
2026-08-09T02:15:00Z,1,111.5614143,120.7619857
2026-08-09T02:30:00Z,1,110.99732,120.55304
2026-08-09T02:45:00Z,1,109.55012,119.915
2026-08-09T03:00:00Z,1,107.9776143,117.6608429
2026-08-09T03:15:00Z,1,106.33256,116.53964
2026-08-09T03:30:00Z,1,105.65756,116.08244
2026-08-09T03:45:00Z,1,105.1408143,114.1091857
2026-08-09T04:00:00Z,1,103.81988,113.02256
